,ชื่อย่อหลักทรัพย์,ชื่อเต็มหลักทรัพย์จดทะเบียน,ตลาด,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,Factsheet
0,24CS,บริษัท ทเวนตี้ โฟร์ คอน แอนด์ ซัพพลาย จำกัด (มหาชน),mai,PROPCON,-,
1,2S,บริษัท 2 เอส เมทัล จำกัด (มหาชน),SET,INDUS,STEEL,
2,3K-BAT,บริษัท ไทย เอ็นเนอร์จี สโตเรจ เทคโนโลยี จำกัด (มหาชน),SET,INDUS,AUTO,
3,7UP,บริษัท เซเว่น ยูทิลิตี้ส์ แอนด์ พาวเวอร์ จำกัด (มหาชน),SET,RESOURC,ENERG,
4,A,บริษัท อารียา พรอพเพอร์ตี้ จำกัด (มหาชน),SET,PROPCON,PROP,
5,A5,บริษัท แอสเซท ไฟว์ กรุ๊ป จำกัด (มหาชน),mai,PROPCON,-,
6,AAI,บริษัท เอเชี่ยน อะไลอันซ์ อินเตอร์เนชั่นแนล จำกัด (มหาชน),SET,AGRO,FOOD,
7,AAV,บริษัท เอเชีย เอวิเอชั่น จำกัด (มหาชน),SET,SERVICE,TRANS,
8,ABICO,บริษัท เอบิโก้ โฮลดิ้งส์ จำกัด (มหาชน),mai,AGRO,-,
9,ABM,บริษัท เอเชีย ไบโอแมส จำกัด (มหาชน),mai,RESOURC,-,
10,ACAP,บริษัท เอเชีย แคปปิตอล กรุ๊ป จำกัด (มหาชน),mai,FINCIAL,-,
11,ACC,บริษัท แอดวานซ์ คอนเนคชั่น คอร์ปอเรชั่น จำกัด (มหาชน),SET,RESOURC,ENERG,
12,ACE,บริษัท แอ๊บโซลูท คลีน เอ็นเนอร์จี้ จำกัด (มหาชน),SET,RESOURC,ENERG,
13,ACG,บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน),SET,INDUS,AUTO,
14,ADB,บริษัท แอ็พพลาย ดีบี จำกัด (มหาชน),mai,INDUS,-,
15,ADD,บริษัท แอดเทค ฮับ จำกัด (มหาชน),mai,SERVICE,-,
16,ADVANC,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),SET,TECH,ICT,
17,AEONTS,บริษัท อิออน ธนสินทรัพย์ (ไทยแลนด์) จำกัด (มหาชน),SET,FINCIAL,FIN,
18,AF,บริษัท ไอร่า แฟคตอริ่ง จำกัด (มหาชน),mai,FINCIAL,-,
19,AFC,บริษัท เอเซียไฟเบอร์ จำกัด (มหาชน),SET,CONSUMP,FASHION,
20,AGE,บริษัท เอเชีย กรีน เอนเนอจี จำกัด (มหาชน),SET,RESOURC,ENERG,
21,AH,บริษัท อาปิโก ไฮเทค จำกัด (มหาชน),SET,INDUS,AUTO,
22,AHC,บริษัท โรงพยาบาลเอกชล จำกัด (มหาชน),SET,SERVICE,HELTH,
23,AI,บริษัท เอเชียน อินซูเลเตอร์ จำกัด (มหาชน),SET,RESOURC,ENERG,
24,AIE,บริษัท เอไอ เอนเนอร์จี จำกัด (มหาชน),SET,RESOURC,ENERG,
25,AIMCG,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ เอไอเอ็ม คอมเมอร์เชียล โกรท,SET,PROPCON,PF&REIT,
26,AIMIRT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ เอไอเอ็ม อินดัสเทรียล โกรท,SET,PROPCON,PF&REIT,
27,AIRA,บริษัท ไอร่า แคปปิตอล จำกัด (มหาชน),mai,FINCIAL,-,
28,AIT,บริษัท แอ็ดวานซ์ อินฟอร์เมชั่น เทคโนโลยี จำกัด (มหาชน),SET,TECH,ICT,
29,AJ,บริษัท เอ.เจ.พลาสท์ จำกัด (มหาชน),SET,INDUS,PKG,
30,AJA,บริษัท เอเจ แอดวานซ์ เทคโนโลยี จำกัด (มหาชน),SET,CONSUMP,HOME,
31,AKP,บริษัท อัคคีปราการ จำกัด (มหาชน),mai,SERVICE,-,
32,AKR,บริษัท เอกรัฐวิศวกรรม จำกัด (มหาชน),SET,RESOURC,ENERG,
33,ALL,บริษัท ออลล์ อินสไปร์ ดีเวลลอปเม้นท์ จำกัด (มหาชน),mai,PROPCON,-,
34,ALLA,บริษัท ออลล่า จำกัด (มหาชน),SET,INDUS,IMM,
35,ALLY,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์ อัลไล,SET,PROPCON,PF&REIT,
36,ALPHAX,บริษัท อัลฟ่า ดิวิชั่นส์ จำกัด (มหาชน),mai,CONSUMP,-,
37,ALT,บริษัท เอแอลที เทเลคอม จำกัด (มหาชน),SET,TECH,ICT,
38,ALUCON,บริษัท อลูคอน จำกัด (มหาชน),SET,INDUS,PKG,
39,AMA,บริษัท อาม่า มารีน จำกัด (มหาชน),mai,SERVICE,-,
40,AMANAH,บริษัท อะมานะฮ์ ลิสซิ่ง จำกัด (มหาชน),SET,FINCIAL,FIN,
41,AMARC,บริษัท ศูนย์ห้องปฏิบัติการและวิจัยทางการแพทย์และการเกษตรแห่งเอเซีย จำกัด (มหาชน),mai,SERVICE,-,
42,AMARIN,บริษัท อมรินทร์พริ้นติ้ง แอนด์ พับลิชชิ่ง จำกัด (มหาชน),SET,SERVICE,MEDIA,
43,AMATA,บริษัท อมตะ คอร์ปอเรชัน จำกัด (มหาชน),SET,PROPCON,PROP,
44,AMATAR,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอมตะซัมมิทโกรท,SET,PROPCON,PF&REIT,
45,AMATAV,บริษัท อมตะ วีเอ็น จำกัด (มหาชน),SET,PROPCON,PROP,
46,AMC,บริษัท เอเซีย เมทัล จำกัด (มหาชน),SET,INDUS,STEEL,
47,AMR,บริษัท เอเอ็มอาร์ เอเซีย จำกัด (มหาชน),SET,TECH,ICT,
48,ANAN,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน),SET,PROPCON,PROP,
49,AOT,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน),SET,SERVICE,TRANS,
50,AP,บริษัท เอพี (ไทยแลนด์) จำกัด (มหาชน),SET,PROPCON,PROP,
51,APCO,บริษัท เอเชียน ไฟย์โตซูติคอลส์ จำกัด (มหาชน),SET,CONSUMP,PERSON,
52,APCS,บริษัท เอเซีย พรีซิชั่น จำกัด (มหาชน),SET,PROPCON,CONS,
53,APEX,บริษัท เอเพ็กซ์ ดีเวลลอปเม้นท์ จำกัด (มหาชน),SET,PROPCON,PROP,
54,APP,บริษัท แอพพลิแคด จำกัด (มหาชน),mai,TECH,-,
55,APURE,บริษัท อกริเพียว โฮลดิ้งส์ จำกัด (มหาชน),SET,AGRO,FOOD,
56,AQ,บริษัท เอคิว เอสเตท จำกัด (มหาชน),SET,PROPCON,PROP,
57,AQUA,บริษัท อควา คอร์เปอเรชั่น จำกัด (มหาชน),SET,SERVICE,MEDIA,
58,ARIN,บริษัท อรินสิริ แลนด์ จำกัด (มหาชน),mai,PROPCON,-,
59,ARIP,บริษัท เออาร์ไอพี จำกัด (มหาชน),mai,SERVICE,-,
60,ARROW,บริษัท แอร์โรว์ ซินดิเคท จำกัด (มหาชน),mai,PROPCON,-,
61,AS,บริษัท เอเชียซอฟท์ คอร์ปอเรชั่น จำกัด (มหาชน),SET,SERVICE,MEDIA,
62,ASAP,บริษัท ซินเนอร์เจติค ออโต้ เพอร์ฟอร์มานซ์ จำกัด (มหาชน),SET,FINCIAL,FIN,
63,ASEFA,บริษัท อาซีฟา จำกัด (มหาชน),SET,INDUS,IMM,
64,ASIA,บริษัท เอเชียโฮเต็ล จำกัด (มหาชน),SET,SERVICE,TOURISM,
65,ASIAN,บริษัท เอเชี่ยนซี คอร์ปอเรชั่น จำกัด (มหาชน),SET,AGRO,FOOD,
66,ASIMAR,บริษัท เอเชียน มารีน เซอร์วิสส์ จำกัด (มหาชน),SET,SERVICE,TRANS,
67,ASK,บริษัท เอเซียเสริมกิจลีสซิ่ง จำกัด (มหาชน),SET,FINCIAL,FIN,
68,ASN,บริษัท เอเอสเอ็น โบรกเกอร์ จำกัด (มหาชน),mai,FINCIAL,-,
69,ASP,บริษัท เอเซีย พลัส กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),SET,FINCIAL,FIN,
70,ASW,บริษัท แอสเซทไวส์ จำกัด (มหาชน),SET,PROPCON,PROP,
